rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Patio or balcony,Carbon monoxide alarm,Smoke alarm,Guest favorite,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Courtyard view,Free street parking,Elevator,Exterior security cameras on property,Air conditioning,Superhost,TV with standard cable,Luggage dropoff allowed,Refrigerator,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Free dryer – In unit,Pool,Crib,Indoor fireplace,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,55 inch HDTV with Netflix,Sauna,Mountain view,Fast wifi – 396 Mbps,HDTV with Netflix,Free residential garage on premises – 1 space,AC - split type ductless system,Fast wifi – 77 Mbps,Shared hot tub - available all year,Free carport on premises – 1 space,21 inch TV with Disney+,standard cable,Roku,Fast wifi – 567 Mbps,Paid washer – In building,Garden view,43 inch HDTV with standard cable,Fast wifi – 280 Mbps,HDTV with standard cable,Shared pool,Free washer – In building,Shared backyard – Not fully fenced,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Dryer,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,32 inch TV with standard cable,Paid street parking off premises,Backyard,Shared outdoor pool - open specific hours,rooftop,43 inch HDTV with Netflix,Private backyard – Fully fenced,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,32 inch HDTV with Netflix,standard cable,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,Free dryer – In building,32 inch HDTV with premium cable,TV with Netflix,MABE refrigerator,Fast wifi – 252 Mbps,Free carport on premises,Fast wifi – 95 Mbps,42 inch HDTV,Crib - available upon request,Fast wifi – 192 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 83 Mbps,Park view,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Washer – In building,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
69,685,285,0,390,0,4,4,2,0,910062988154345925,Apartment in Itagüi,01/18/25 - 01/21/25,162,38,23,4.83,4.83 (18),17,https://www.airbnb.com/rooms/910062988154345925?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,116,0.7160493827,23,23,46,0.2839506173,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,673,195,0,470,0,4,4,0,0,1298208780013674773,Apartment in Itagüi,01/18/25 - 01/21/25,198,56,33,5,5.0 (3),1,https://www.airbnb.com/rooms/1298208780013674773?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,51,3,152,0.7676767677,18,28,46,0.2323232323,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,673,345,0,320,0,4,4,0,0,1233984981357791879,Apartment in Itagüi,01/18/25 - 01/21/25,130,26,17,,,31,https://www.airbnb.com/rooms/1233984981357791879?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,124,0.9538461538,13,18,31,0.2384615385,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,670,205,0,455,0,4,4,2,0,1020436143435914892,Apartment in Sabaneta,01/18/25 - 01/21/25,195,54,31,4.97,4.97 (33),4,https://www.airbnb.com/rooms/1020436143435914892?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,49,3,147,0.7538461538,21,27,48,0.2461538462,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,FALSE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,668,305,0,355,0,4,4,0,0,1093569738747659124,Apartment in Sabaneta,01/18/25 - 01/21/25,148,34,28,4.74,4.74 (34),24,https://www.airbnb.com/rooms/1093569738747659124?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,135,0.9121621622,13,0,13,0.08783783784,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,660,235,0,415,0,4,4,2,0,580443931251558342,Apartment in Sabaneta,01/18/25 - 01/21/25,180,48,29,4.88,4.88 (52),12,https://www.airbnb.com/rooms/580443931251558342?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,46,3,138,0.7666666667,20,22,42,0.2333333333,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,655,220,0,425,0,4,4,2,0,53186225,Loft in Sabaneta,01/18/25 - 01/21/25,188,51,31,4.9,4.9 (157),10,https://www.airbnb.com/rooms/53186225?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,49,3,147,0.7819148936,18,23,41,0.2180851064,1 bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,650,210,0,430,0,4,4,2,0,876746961275292030,Condo in Sabaneta,01/18/25 - 01/21/25,190,53,30,4.91,4.91 (33),9,https://www.airbnb.com/rooms/876746961275292030?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,145,0.7631578947,18,27,45,0.2368421053,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,645,165,0,470,0,4,4,2,0,700212090262141071,Apartment in Medellín,01/18/25 - 01/21/25,245,62,48,5,5.0 (25),1,https://www.airbnb.com/rooms/700212090262141071?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,74,3,222,0.906122449,23,0,23,0.09387755102,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,645,185,0,450,0,4,4,2,0,1234329449891515771,Cabin in Sabaneta,01/18/25 - 01/21/25,207,58,35,4.96,4.96 (25),5,https://www.airbnb.com/rooms/1234329449891515771?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,55,3,166,0.8019323671,12,29,41,0.1980676329,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,640,170,0,460,0,4,4,2,0,679582104063180713,Loft in Sabaneta,01/18/25 - 01/21/25,228,61,39,4.98,4.98 (55),3,https://www.airbnb.com/rooms/679582104063180713?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,60,3,180,0.7894736842,20,28,48,0.2105263158,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,625,190,0,425,0,4,4,2,0,594941022732437611,Loft in Medellín,01/18/25 - 01/21/25,203,57,44,4.9,4.9 (196),10,https://www.airbnb.com/rooms/594941022732437611?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,68,3,203,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,625,225,0,390,0,4,4,2,0,676127843795597018,Apartment in Sabaneta,01/18/25 - 01/21/25,187,50,30,4.83,4.83 (104),17,https://www.airbnb.com/rooms/676127843795597018?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,0.7700534759,20,23,43,0.2299465241,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,625,230,0,385,0,4,4,2,0,937526964017257535,Apartment in Sabaneta,01/18/25 - 01/21/25,185,49,29,4.82,4.82 (57),18,https://www.airbnb.com/rooms/937526964017257535?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,46,3,138,0.7459459459,21,26,47,0.2540540541,,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,623,145,0,470,0,4,4,0,0,1269799762218055249,Apartment in Itagüi,01/18/25 - 01/21/25,274,66,45,5,5.0 (3),1,https://www.airbnb.com/rooms/1269799762218055249?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,70,3,210,0.7664233577,30,34,64,0.2335766423,,,TRUE,TRUE,,,,TRUE,TRUE,,FALSE,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,615,135,0,470,0,4,4,2,0,937725730189109315,Apartment in Envigado,01/18/25 - 01/21/25,301,68,49,5,5.0 (49),1,https://www.airbnb.com/rooms/937725730189109315?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,81,3,242,0.803986711,22,37,59,0.196013289,,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,613,225,0,380,0,4,4,0,0,888497324659639892,Apartment in Sabaneta,01/18/25 - 01/21/25,187,50,30,4.81,4.81 (21),19,https://www.airbnb.com/rooms/888497324659639892?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,0.7700534759,20,23,43,0.2299465241,,,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,610,150,0,450,0,4,4,2,0,569013406988758799,Vacation home in Medellín,01/18/25 - 01/21/25,268,65,45,4.96,4.96 (105),5,https://www.airbnb.com/rooms/569013406988758799?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,70,3,210,0.7835820896,25,33,58,0.2164179104,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,605,125,0,470,0,4,4,2,0,1237119389294440544,Condo in Envigado,01/18/25 - 01/21/25,369,70,53,5,5.0 (9),1,https://www.airbnb.com/rooms/1237119389294440544?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,106,3,317,0.8590785908,0,52,52,0.1409214092,3 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,593,265,0,320,0,4,4,0,0,1231924675415460903,Apartment in Itagüi,01/18/25 - 01/21/25,171,42,25,,New,31,https://www.airbnb.com/rooms/1231924675415460903?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,124,0.7251461988,23,24,47,0.2748538012,4 beds,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,588,110,0,470,0,4,4,0,0,1241708463902363810,Apartment in Envigado,01/18/25 - 01/21/25,404,73,56,5,5.0 (3),1,https://www.airbnb.com/rooms/1241708463902363810?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,127,3,381,0.9430693069,23,0,23,0.05693069307,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,580,100,0,470,0,4,4,2,0,1097963184618699077,Condo in Medellín,01/18/25 - 01/21/25,539,75,57,5,5.0 (49),1,https://www.airbnb.com/rooms/1097963184618699077?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,145,3,458,0.8497217069,37,67,104,0.1929499072,,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,570,105,0,455,0,4,4,2,0,955633739468915699,Apartment in Envigado,01/18/25 - 01/21/25,444,74,54,4.97,4.97 (37),4,https://www.airbnb.com/rooms/955633739468915699?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,113,3,339,0.7635135135,50,55,105,0.2364864865,3 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,545,120,0,415,0,4,4,2,0,846307105899108594,Condo in Medellín,01/18/25 - 01/21/25,373,71,52,4.88,4.88 (93),12,https://www.airbnb.com/rooms/846307105899108594?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,99,3,297,0.7962466488,30,46,76,0.2037533512,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,538,155,0,375,0,4,4,0,0,1103576409171539412,Apartment in Envigado,01/18/25 - 01/21/25,259,64,41,4.8,4.8 (20),20,https://www.airbnb.com/rooms/1103576409171539412?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,62,3,187,0.722007722,40,32,72,0.277992278,2 beds,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,FALSE,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,530,130,0,390,0,4,4,2,0,1183563573493237020,Apartment in Medellín,01/18/25 - 01/21/25,360,69,51,4.83,4.83 (18),17,https://www.airbnb.com/rooms/1183563573493237020?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,94,3,330,0.9166666667,35,45,80,0.2222222222,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
