,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Free street parking,Pets allowed,40 inch HDTV,Washer,SAMSUNG refrigerator,Microwave,Carbon monoxide alarm,Smoke alarm,Guest favorite,Refrigerator,Dedicated workspace,Free parking on premises,65 inch HDTV with HBO Max,Netflix,standard cable,Patio or balcony,Superhost,TV,Private patio or balcony,Exterior security cameras on property,TV with Roku,Private backyard,Luggage dropoff allowed,City skyline view,32 inch HDTV with premium cable,Free washer – In unit,Hair dryer,Long term stays allowed,Backyard,Mountain view,Valley view,Outdoor pool - available all year,open specific hours,Fast wifi – 522 Mbps,43 inch HDTV with Netflix,premium cable,Smoking allowed,Paid parking on premises,Hot tub,Air conditioning,Fire pit,Free parking garage on premises – 1 space,Free residential garage on premises – 1 space,Pool,Shared hot tub - available all year,open specific hours,Shared sauna,Elevator,Paid washer – In building,Paid dryer – In building,Fast wifi – 192 Mbps,TV with standard cable,Wifi – 30 Mbps,HDTV with Netflix,standard cable,EV charger,Fast wifi – 321 Mbps,Samsung refrigerator,Garden view,Shared pool,Bathtub,Dryer,Free driveway parking on premises – 2 spaces,Shared outdoor pool - available all year,open 24 hours,Private hot tub - available all year,open 24 hours,River view,Fast wifi – 220 Mbps,Courtyard view,Free driveway parking on premises,43 inch HDTV with Netflix,Roku,HDTV with Netflix,Free dryer – In unit,Shared patio or balcony,Haceb refrigerator,Fast wifi – 200 Mbps,HDTV with standard cable,Shared outdoor pool - available all year,open specific hours,Mabe refrigerator,55 inch HDTV with Netflix,50 inch HDTV,Park view,Fast wifi – 510 Mbps,Free washer – In building,Shared hot tub,Free dryer – In building,Central air conditioning,Private backyard – Fully fenced,Fast wifi – 363 Mbps,43 inch HDTV with Netflix,standard cable,Paid washer,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Not fully fenced,Free carport on premises,HDTV with standard cable,Netflix,Lake view,Private hot tub,TV with Fire TV,Washer – In unit,High chair,43 inch HDTV,AC - split type ductless system,30 inch TV with Roku,Netflix,Ae refrigerator,Wifi – 5 Mbps,Fast wifi – 60 Mbps,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,Fast wifi – 175 Mbps,32 inch HDTV with standard cable,Fast wifi – 182 Mbps,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,50 inch HDTV with standard cable,55 inch HDTV,Portable air conditioning,Free parking garage on premises,Shared outdoor pool - available all year,open specific hours,rooftop,HDTV with Netflix,Disney+,Fast wifi – 218 Mbps,49 inch HDTV with standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,40 inch HDTV with Netflix,standard cable,HDTV with Amazon Prime Video,Disney+,Netflix,40 inch HDTV with HBO Max,Netflix,Fast wifi – 264 Mbps,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,HDTV with Netflix,Amazon Prime Video,standard cable,Shared pool - available all year,Fast wifi – 252 Mbps,Fast wifi – 315 Mbps,Shared indoor pool - available all year,open specific hours,rooftop,32 inch HDTV with Netflix,standard cable,Free driveway parking on premises – 1 space,Shared outdoor pool - available all year,open specific hours,heated,32 inch TV with standard cable,TV with Netflix,Free washer,43 inch HDTV with standard cable,Fast wifi – 81 Mbps,HDTV with Amazon Prime Video,Netflix,Fast wifi – 318 Mbps,HDTV with standard cable,Roku,Netflix,premium cable,32 inch HDTV with Netflix,premium cable,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 306 Mbps,Free carport on premises – 1 space,32 inch HDTV with Roku,43 inch HDTV with Netflix,standard cable,Disney+,HBO Max,Amazon Prime Video,Private pool - available all year,open specific hours,65 inch HDTV with Netflix,Pool view,Wifi – 9 Mbps,Private hot tub - available all year,open specific hours,Shared backyard – Not fully fenced,Breakfast,Private indoor pool - available all year,open specific hours,heated,lap pool,Fast wifi – 106 Mbps,Canal view,90 inch HDTV with Netflix,standard cable,Dryer – In unit,43 inch TV with Netflix,LG refrigerator,Paid parking lot on premises – 1 space,Crib,Shared pool - open specific hours,Waterfront,Shared outdoor pool - open specific hours,infinity,lap pool,pool toys
,50,1810,850,0,960,0,0,0,0,0,828742147845272787,,,,Apartment in Copacabana,01/18/25 - 01/21/25,100,35,9,4.88,4.88 (50),13,https://www.airbnb.com/rooms/828742147845272787?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,73,0.73,15,12,27,0.27,2 beds,TRUE,TRUE,TRUE,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,1810,880,0,930,0,0,0,0,0,53498395,,,,Condo in Medellín,01/18/25 - 01/21/25,92,29,11,4.82,4.82 (73),19,https://www.airbnb.com/rooms/53498395?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.8586956522,0,13,13,0.1413043478,,,TRUE,,,,,,,,FALSE,,,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,1805,785,0,1020,0,0,0,0,0,685797605352821233,,,,Home in Medellín,01/18/25 - 01/21/25,116,48,17,5,5.0 (62),1,https://www.airbnb.com/rooms/685797605352821233?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,100,0.8620689655,0,16,16,0.1379310345,,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,1805,885,0,920,0,0,0,0,0,746342054595521765,,,,Condo in Medellín,01/18/25 - 01/21/25,90,28,11,4.79,4.79 (38),21,https://www.airbnb.com/rooms/746342054595521765?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,77,0.8555555556,0,13,13,0.1444444444,,,TRUE,TRUE,,,,,,,FALSE,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,1795,880,0,915,0,0,0,0,0,53781119,,,,Condo in Medellín,01/18/25 - 01/21/25,92,29,11,4.78,4.78 (50),22,https://www.airbnb.com/rooms/53781119?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.8586956522,0,13,13,0.1413043478,,,TRUE,,,,,,,,FALSE,,,,TRUE,,,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,1790,770,0,1020,0,0,0,0,0,1203710008668425678,,,,Apartment in Bello,01/18/25 - 01/21/25,120,51,18,5,5.0 (5),1,https://www.airbnb.com/rooms/1203710008668425678?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,103,0.8583333333,0,17,17,0.1416666667,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,1785,765,0,1020,0,0,0,0,0,1266153016647618674,,,,Apartment in Medellín,01/18/25 - 01/21/25,121,52,19,5,5.0 (8),1,https://www.airbnb.com/rooms/1266153016647618674?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,104,0.8595041322,0,17,17,0.1404958678,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,1785,820,0,965,0,0,0,0,0,1116744218715097755,,,,Apartment in Bello,01/18/25 - 01/21/25,109,41,15,4.89,4.89 (9),12,https://www.airbnb.com/rooms/1116744218715097755?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,94,0.8623853211,0,15,15,0.1376146789,,,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,1775,755,0,1020,0,0,0,0,0,1277468657875287129,,,,Cabin in San Felix,01/18/25 - 01/21/25,123,54,16,5,5.0 (4),1,https://www.airbnb.com/rooms/1277468657875287129?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,105,0.8536585366,11,17,28,0.2276422764,,,TRUE,TRUE,,TRUE,,,,,FALSE,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,1770,775,0,995,0,0,0,0,0,1109735560679449413,,,,Loft in Medellín,01/18/25 - 01/21/25,119,50,24,4.95,4.95 (56),6,https://www.airbnb.com/rooms/1109735560679449413?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,1770,940,0,830,0,0,0,0,0,832163219825853005,,,,Apartment in Copacabana,01/18/25 - 01/21/25,76,17,5,4.4,4.4 (10),39,https://www.airbnb.com/rooms/832163219825853005?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,56,0.7368421053,9,11,20,0.2631578947,3 beds,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,,,TRUE,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,1765,810,0,955,0,0,0,0,0,615263216683244123,,,,Vacation home in Medellín,01/18/25 - 01/21/25,111,43,13,4.87,4.87 (82),14,https://www.airbnb.com/rooms/615263216683244123?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7747747748,9,16,25,0.2252252252,2 beds,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,1765,840,0,925,0,0,0,0,0,772552444772323903,,,,Apartment in Bello,01/18/25 - 01/21/25,103,37,14,4.8,4.8 (20),20,https://www.airbnb.com/rooms/772552444772323903?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.8737864078,0,13,13,0.1262135922,2 beds,,TRUE,TRUE,,,,,,,FALSE,FALSE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,1760,755,0,1005,0,0,0,0,0,51352055,,,,Condo in Bello,01/18/25 - 01/21/25,123,54,14,4.97,4.97 (37),4,https://www.airbnb.com/rooms/51352055?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.7317073171,16,17,33,0.2682926829,,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,1760,850,0,910,0,0,0,0,0,1161115058332519403,,,,Apartment in Bello,01/18/25 - 01/21/25,100,35,10,4.77,4.77 (22),23,https://www.airbnb.com/rooms/1161115058332519403?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.76,10,14,24,0.24,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,1760,885,0,875,0,0,0,0,0,54056544,,,,Vacation home in Bello,01/18/25 - 01/21/25,90,28,8,4.68,4.68 (19),30,https://www.airbnb.com/rooms/54056544?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.7666666667,8,13,21,0.2333333333,,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,1755,830,0,925,0,0,0,0,0,1271147162761970978,,,,Loft in Medellín,01/18/25 - 01/21/25,106,39,19,4.8,4.8 (20),20,https://www.airbnb.com/rooms/1271147162761970978?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,106,1,0,0,0,0,,,,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,1755,910,0,845,0,0,0,0,0,40870644,,,,Home in Bello,01/18/25 - 01/21/25,84,23,7,4.57,4.57 (30),36,https://www.airbnb.com/rooms/40870644?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,63,0.75,9,12,21,0.25,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,1755,945,0,810,0,0,0,0,0,1323305627409536567,,,,Apartment in Medellín,01/18/25 - 01/21/25,74,16,6,,New,43,https://www.airbnb.com/rooms/1323305627409536567?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.7972972973,5,10,15,0.2027027027,,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,1750,730,0,1020,0,0,0,0,0,1201878949314005551,,,,Apartment in Bello,01/18/25 - 01/21/25,129,59,14,5,5.0 (4),1,https://www.airbnb.com/rooms/1201878949314005551?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.6976744186,21,18,39,0.3023255814,2 double beds,,TRUE,TRUE,,,,TRUE,,TRUE,FALSE,FALSE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,1750,760,0,990,0,0,0,0,0,687927696574470546,,,,Home in Medellín,01/18/25 - 01/21/25,122,53,13,4.94,4.94 (35),7,https://www.airbnb.com/rooms/687927696574470546?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,87,0.7131147541,18,17,35,0.2868852459,2 beds,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,1750,775,0,975,0,0,0,0,0,1103824789177234647,,,,Loft in Medellín,01/18/25 - 01/21/25,119,50,24,4.91,4.91 (64),10,https://www.airbnb.com/rooms/1103824789177234647?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,1745,795,0,950,0,0,0,0,0,552331054126571035,,,,Apartment in Bello,01/18/25 - 01/21/25,114,46,16,4.86,4.86 (43),15,https://www.airbnb.com/rooms/552331054126571035?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,96,0.8421052632,18,0,18,0.1578947368,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,TRUE,,TRUE,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,1735,715,0,1020,0,0,0,0,0,1310157815739952582,,,,Apartment in Medellín,01/18/25 - 01/21/25,133,62,26,5,5.0 (5),1,https://www.airbnb.com/rooms/1310157815739952582?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,161,1.210526316,7,0,7,0.05263157895,,,TRUE,TRUE,,,,TRUE,,,FALSE,,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,1735,925,0,810,0,0,0,0,0,1273281858036146783,,,,Apartment in Bello,01/18/25 - 01/21/25,81,20,5,,New,43,https://www.airbnb.com/rooms/1273281858036146783?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,72,0.8888888889,13,10,23,0.2839506173,,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,1730,710,0,1020,0,0,0,0,0,1100831692197507873,,,,Apartment in Bello,01/18/25 - 01/21/25,134,63,22,5,5.0 (11),1,https://www.airbnb.com/rooms/1100831692197507873?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,115,0.8582089552,0,19,19,0.1417910448,8 beds,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,1730,720,0,1010,0,0,0,0,0,54383949,,,,Cabin in Antioquia,01/18/25 - 01/21/25,132,61,25,4.98,4.98 (40),3,https://www.airbnb.com/rooms/54383949?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,138,1.045454545,8,0,8,0.06060606061,,TRUE,TRUE,,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
