,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Pets allowed,TV,Portable air conditioning,Luggage dropoff allowed,Microwave,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,Free street parking,Elevator,Long term stays allowed,Smoke alarm,Guest favorite,Washer,Air conditioning,Haceb refrigerator,Fast wifi – 94 Mbps,Hair dryer,Free parking on premises,Backyard,Crib,Refrigerator,Private patio or balcony,City skyline view,Fast wifi – 599 Mbps,Smoking allowed,Hot tub,Paid washer – In building,Paid dryer – In building,Dryer,Mountain view,Free washer – In unit,TV with standard cable,LG refrigerator,32 inch HDTV with Netflix,AC - split type ductless system,Garden view,Free carport on premises,56 inch HDTV with standard cable,Central air conditioning,Shared patio or balcony,Fast wifi – 240 Mbps,Shared indoor pool - available seasonally,open specific hours,Courtyard view,Wifi – 28 Mbps,32 inch HDTV,High chair,Fast wifi – 164 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,premium cable,HDTV,Free parking garage on premises – 1 space,40 inch HDTV,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Park view,Fast wifi – 510 Mbps,Free washer – In building,Fast wifi – 235 Mbps,55 inch HDTV,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Fully fenced,Patio or balcony,Free driveway parking on premises – 3 spaces,HDTV with Netflix,Shared hot tub,Fast wifi – 185 Mbps,55 inch HDTV with Netflix,43 inch HDTV,Shared sauna,Fast wifi – 60 Mbps,32 inch TV,Shared backyard – Not fully fenced,Fast wifi – 231 Mbps,Free dryer – In building,42 inch HDTV with Netflix,50 inch HDTV with Netflix,standard cable,Private hot tub - available all year,open 24 hours,43 inch HDTV with Amazon Prime Video,Netflix,standard cable,Fast wifi – 140 Mbps,TV with Netflix,standard cable,Wifi – 35 Mbps,58 inch HDTV with Netflix,standard cable,Window AC unit,45 inch HDTV with Netflix,Amazon Prime Video,Chromecast,55 inch TV with Netflix,standard cable,Wifi – 31 Mbps,32 inch HDTV with premium cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 466 Mbps,Free residential garage on premises,Private backyard,Fast wifi – 105 Mbps,43 inch HDTV with Netflix,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,Fast wifi – 187 Mbps,35 inch HDTV with premium cable,47 inch TV with standard cable,Free dryer,32 inch HDTV with Fire TV,standard cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,25 inch TV,TV with Netflix,Fast wifi – 59 Mbps,HDTV with Amazon Prime Video,Disney+,Netflix,Free driveway parking on premises,HDTV with Chromecast,40 inch HDTV with Amazon Prime Video,Chromecast,Netflix,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,43 inch HDTV with standard cable,Pack ’n play/Travel crib,60 inch HDTV with Netflix,Fast wifi – 379 Mbps,Washer – In building,Free driveway parking on premises – 2 spaces,Fast wifi – 52 Mbps,40 inch HDTV with Fire TV,Roku,Fast wifi – 206 Mbps,Paid parking on premises,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 131 Mbps,40 inch TV with standard cable,Netflix,DVD player,Paid washer,Paid dryer,Mabe refrigerator,Fast wifi – 263 Mbps,32 inch HDTV with standard cable,Fast wifi – 217 Mbps,50 inch TV,60 inch HDTV with standard cable,Standalone high chair - always at the listing,43 inch TV,Fast wifi – 93 Mbps,Pool - open 24 hours,rooftop,Fast wifi – 205 Mbps,Challenger refrigerator,Paid parking lot on premises – 1 space,Fast wifi – 475 Mbps,Dryer – In unit,Free residential garage on premises – 1 space,43 inch TV with Netflix,49 inch TV with Netflix,Pool,Paid parking lot off premises,Sound system
,54,2045,900,0,1145,0,0,0,0,0,1316855225633746516,Maybe,,,Apartment in Medellín,01/18/25 - 01/21/25,126,50,15,5,5.0 (3),1,https://www.airbnb.com/rooms/1316855225633746516?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.7142857143,18,18,36,0.2857142857,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,,,,,FALSE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,2045,1005,0,1040,0,0,0,0,0,741357452453116170,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,104,29,10,4.78,4.78 (72),22,https://www.airbnb.com/rooms/741357452453116170?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,77,0.7403846154,14,15,29,0.2788461538,,TRUE,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,2040,925,0,1115,0,0,0,0,0,1259422690617984551,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,120,45,19,4.93,4.93 (14),7,https://www.airbnb.com/rooms/1259422690617984551?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,103,0.8583333333,0,17,17,0.1416666667,2 beds,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,2040,960,0,1080,0,0,0,0,0,791073836201136271,,,,Apartment in Medellín,01/18/25 - 01/21/25,113,38,13,4.86,4.86 (7),14,https://www.airbnb.com/rooms/791073836201136271?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,84,0.7433628319,13,16,29,0.2566371681,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,FALSE,TRUE,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,2035,915,0,1120,0,0,0,0,0,687927696574470546,,,,Home in La América,01/18/25 - 01/21/25,122,47,14,4.94,4.94 (35),6,https://www.airbnb.com/rooms/687927696574470546?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,87,0.7131147541,18,17,35,0.2868852459,2 beds,TRUE,,TRUE,,,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,2035,930,0,1105,0,0,0,0,0,1103824789177234647,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,119,44,25,4.91,4.91 (64),9,https://www.airbnb.com/rooms/1103824789177234647?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,2035,1070,0,965,0,0,0,0,0,4244399,,,,Apartment in Medellin,01/18/25 - 01/21/25,83,16,6,4.61,4.61 (171),37,https://www.airbnb.com/rooms/4244399?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,63,0.7590361446,10,10,20,0.2409638554,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,2030,990,0,1040,0,0,0,0,0,1199961884476625355,,,,Loft in Medellín,01/18/25 - 01/21/25,107,32,10,4.78,4.78 (9),22,https://www.airbnb.com/rooms/1199961884476625355?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.7102803738,16,15,31,0.2897196262,1 queen bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,2030,1010,0,1020,0,0,0,0,0,791461391246735132,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,102,28,10,4.74,4.74 (66),26,https://www.airbnb.com/rooms/791461391246735132?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,77,0.7549019608,13,14,27,0.2647058824,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,2030,1090,0,940,0,0,0,0,0,862427938241245732,,,,Apartment in Laureles,01/18/25 - 01/21/25,78,12,8,4.55,4.55 (51),42,https://www.airbnb.com/rooms/862427938241245732?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,70,0.8974358974,8,0,8,0.1025641026,1 double bed,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,FALSE,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,2025,950,0,1075,0,0,0,0,0,660642282470153236,,,,Apartment in Medellín,01/18/25 - 01/21/25,115,40,18,4.85,4.85 (27),15,https://www.airbnb.com/rooms/660642282470153236?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,99,0.8608695652,0,16,16,0.1391304348,1 bed,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,2020,875,0,1145,0,0,0,0,0,1274972288466217105,,,,Loft in Medellín,01/18/25 - 01/21/25,131,55,29,5,5.0 (11),1,https://www.airbnb.com/rooms/1274972288466217105?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,TRUE,,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,2020,875,0,1145,0,0,0,0,0,1198627103747887380,Maybe,,,Apartment in Medellín,01/18/25 - 01/21/25,131,55,13,5,5.0 (10),1,https://www.airbnb.com/rooms/1198627103747887380?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,85,0.6488549618,28,18,46,0.3511450382,3 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,2020,875,0,1145,0,0,0,0,0,1268368755702959906,,,,Loft in Medellín,01/18/25 - 01/21/25,131,55,29,5,5.0 (6),1,https://www.airbnb.com/rooms/1268368755702959906?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,TRUE,,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,2015,870,0,1145,0,0,0,0,0,1310157815739952582,Maybe,,,Apartment in Laureles,01/18/25 - 01/21/25,133,56,27,5,5.0 (5),1,https://www.airbnb.com/rooms/1310157815739952582?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,161,1.210526316,7,0,7,0.05263157895,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,TRUE,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,2015,880,0,1135,0,0,0,0,0,881229013512339406,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,130,54,19,4.97,4.97 (38),3,https://www.airbnb.com/rooms/881229013512339406?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,101,0.7769230769,11,18,29,0.2230769231,,TRUE,,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,2015,905,0,1110,0,0,0,0,0,654885561607311311,Maybe,,,Apartment in Medellín,01/18/25 - 01/21/25,125,49,15,4.92,4.92 (48),8,https://www.airbnb.com/rooms/654885561607311311?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.72,17,18,35,0.28,,TRUE,TRUE,,,,,TRUE,TRUE,,FALSE,,TRUE,,,TRUE,FALSE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,2015,960,0,1055,0,0,0,0,0,932705283387353239,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,113,38,7,4.81,4.81 (21),19,https://www.airbnb.com/rooms/932705283387353239?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,67,0.592920354,30,16,46,0.407079646,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,,TRUE,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,2005,875,0,1130,0,0,0,0,0,1267570302224081748,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,131,55,29,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,TRUE,,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,2005,880,0,1125,0,0,0,0,0,881097579912321971,,,,Apartment in Medellín,01/18/25 - 01/21/25,130,54,19,4.95,4.95 (21),5,https://www.airbnb.com/rooms/881097579912321971?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,101,0.7769230769,11,18,29,0.2230769231,,TRUE,,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,2005,890,0,1115,0,0,0,0,0,802432688932726654,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,128,52,22,4.93,4.93 (44),7,https://www.airbnb.com/rooms/802432688932726654?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.859375,0,18,18,0.140625,,TRUE,,TRUE,,,,,,TRUE,FALSE,,TRUE,TRUE,,,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,2005,895,0,1110,0,0,0,0,0,1222427231306001996,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,127,51,19,4.92,4.92 (12),8,https://www.airbnb.com/rooms/1222427231306001996?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8031496063,25,0,25,0.1968503937,,,TRUE,,,TRUE,,,,,FALSE,,TRUE,,TRUE,,FALSE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,2005,1105,0,900,0,0,0,0,0,1320282297112066871,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,74,9,1,,New,50,https://www.airbnb.com/rooms/1320282297112066871?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,14,3,41,0.5540540541,23,10,33,0.4459459459,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,2000,895,0,1105,0,0,0,0,0,840821888878023812,,,,Condo in Medellín,01/18/25 - 01/21/25,127,51,21,4.91,4.91 (79),9,https://www.airbnb.com/rooms/840821888878023812?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.8582677165,0,18,18,0.1417322835,,TRUE,,TRUE,,,,TRUE,,,FALSE,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,2000,940,0,1060,0,0,0,0,0,43850369,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,117,42,24,4.82,4.82 (275),18,https://www.airbnb.com/rooms/43850369?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,117,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,2000,955,0,1045,0,0,0,0,0,43744849,Maybe,,,Apartment in Medellín,01/18/25 - 01/21/25,114,39,23,4.79,4.79 (337),21,https://www.airbnb.com/rooms/43744849?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,114,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,2000,990,0,1010,0,0,0,0,0,1141980619717538034,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,107,32,11,4.72,4.72 (32),28,https://www.airbnb.com/rooms/1141980619717538034?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,107,1,15,15,30,0.2803738318,2 beds,TRUE,TRUE,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,FALSE,,,,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,1995,850,0,1145,0,0,0,0,0,1010279380824664920,Yes,,,Apartment in Medellín,01/18/25 - 01/21/25,139,60,19,5,5.0 (11),1,https://www.airbnb.com/rooms/1010279380824664920?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.7338129496,20,17,37,0.2661870504,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,1995,985,0,1010,0,0,0,0,0,1080405442630057888,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,108,33,16,4.72,4.72 (61),28,https://www.airbnb.com/rooms/1080405442630057888?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,0,15,15,0.1388888889,,TRUE,TRUE,,,TRUE,,,,,FALSE,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
