,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Guest favorite,guest_favorite,Kitchen,Fast wifi – 67 Mbps,TV,Washer,Luggage dropoff allowed,Hair dryer,Microwave,Long term stays allowed,Carbon monoxide alarm,Smoke alarm,Garden view,Park view,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Exterior security cameras on property,Air conditioning,Superhost,Elevator,TV with standard cable,Refrigerator,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Shared outdoor pool - available all year,open specific hours,heated,Mountain view,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,Shared hot tub - available all year,open specific hours,Shared sauna,55 inch HDTV with Netflix,Free carport on premises,31 inch HDTV with Netflix,HDTV with Netflix,Free dryer – In unit,Paid washer – In building,Fast wifi – 280 Mbps,Private backyard – Not fully fenced,Free washer – In building,Patio or balcony,Courtyard view,55 inch HDTV with Netflix,standard cable,HDTV with standard cable,Shared pool,Fast wifi – 178 Mbps,Free carport on premises – 2 spaces,55 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Shared backyard – Not fully fenced,TV with Netflix,Free street parking,Dryer,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 348 Mbps,55 inch HDTV,Paid street parking off premises,Pack ’n play/Travel crib - available upon request,HDTV with premium cable,Netflix,Central air conditioning,Fast wifi – 410 Mbps,Fast wifi – 249 Mbps,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,Paid dryer – In building,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Fast wifi – 264 Mbps,Hot tub,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,AC - split type ductless system,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Dryer – In unit,Portable air conditioning,Backyard,Smoking allowed,Fast wifi – 193 Mbps,Fast wifi – 83 Mbps,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Fast wifi – 344 Mbps,Haceb refrigerator,32 inch HDTV,Pool,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free dryer – In building,50 inch HDTV,HACEB refrigerator
,77,865,345,0,520,0,0,0,0,0,50960242,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,167,54,28,4.8,4.8 (79),19,https://www.airbnb.com/rooms/50960242?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,42,3,126,0.754491018,20,21,41,0.245508982,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,860,325,0,535,0,0,0,0,0,53710693,,,,Loft in Medellín,01/18/25 - 01/21/25,173,58,43,4.83,4.83 (206),16,https://www.airbnb.com/rooms/53710693?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,58,3,173,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,860,405,0,455,0,0,0,0,0,1279950855800093242,,,,Apartment in Medellín,01/18/25 - 01/21/25,147,42,23,4.6,4.6 (10),32,https://www.airbnb.com/rooms/1279950855800093242?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,110,0.7482993197,16,21,37,0.2517006803,,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,860,425,0,435,0,0,0,0,0,965973955476692324,,,,Apartment in Envigado,01/18/25 - 01/21/25,142,38,26,4.24,4.24 (21),36,https://www.airbnb.com/rooms/965973955476692324?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,119,0.838028169,23,0,23,0.161971831,2 beds,,,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,855,295,0,560,0,0,0,0,0,580443931251558342,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,180,64,32,4.88,4.88 (52),11,https://www.airbnb.com/rooms/580443931251558342?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,46,3,138,0.7666666667,20,22,42,0.2333333333,,TRUE,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,850,240,0,610,0,0,0,0,0,1273191407795906045,,,,Apartment in Envigado,01/18/25 - 01/21/25,208,75,45,5,5.0 (3),1,https://www.airbnb.com/rooms/1273191407795906045?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,60,3,181,0.8701923077,27,0,27,0.1298076923,4 beds,,,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,850,280,0,570,0,0,0,0,0,53186225,,,,Loft in Sabaneta,01/18/25 - 01/21/25,188,67,35,4.9,4.9 (157),9,https://www.airbnb.com/rooms/53186225?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,49,3,147,0.7819148936,18,23,41,0.2180851064,1 bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,845,270,0,575,0,0,0,0,0,876746961275292030,,,,Condo in Sabaneta,01/18/25 - 01/21/25,190,69,34,4.91,4.91 (33),8,https://www.airbnb.com/rooms/876746961275292030?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,145,0.7631578947,18,27,45,0.2368421053,,TRUE,TRUE,TRUE,,TRUE,,,,,,FALSE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,840,245,0,595,0,0,0,0,0,1234329449891515771,,,,Cabin in Sabaneta,01/18/25 - 01/21/25,205,74,40,4.96,4.96 (25),4,https://www.airbnb.com/rooms/1234329449891515771?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,55,3,165,0.8048780488,11,29,40,0.1951219512,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,840,260,0,580,0,0,0,0,0,638932380920243265,,,,Apartment in Envigado,01/18/25 - 01/21/25,194,71,31,4.92,4.92 (65),7,https://www.airbnb.com/rooms/638932380920243265?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,135,0.6958762887,35,24,59,0.3041237113,,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,830,220,0,610,0,0,0,0,0,1276234987996862494,,,,Apartment in Medellín,01/18/25 - 01/21/25,240,79,43,5,5.0 (4),1,https://www.airbnb.com/rooms/1276234987996862494?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,58,3,174,0.725,32,34,66,0.275,3 beds,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,830,225,0,605,0,0,0,0,0,679582104063180713,,,,Loft in Sabaneta,01/18/25 - 01/21/25,228,78,45,4.98,4.98 (55),2,https://www.airbnb.com/rooms/679582104063180713?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,60,3,180,0.7894736842,20,28,48,0.2105263158,,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,830,390,0,440,0,0,0,0,0,965458855414442451,,,,Apartment in Envigado,01/18/25 - 01/21/25,153,45,29,4.42,4.42 (62),35,https://www.airbnb.com/rooms/965458855414442451?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,43,3,130,0.8496732026,23,0,23,0.1503267974,2 beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,825,215,0,610,0,0,0,0,0,700212090262141071,,,,Apartment in Medellín,01/18/25 - 01/21/25,245,80,53,5,5.0 (25),1,https://www.airbnb.com/rooms/700212090262141071?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,74,3,222,0.906122449,23,0,23,0.09387755102,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,825,300,0,525,0,0,0,0,0,1045578010746305131,,,,Apartment in Envigado,01/18/25 - 01/21/25,179,63,25,4.81,4.81 (32),18,https://www.airbnb.com/rooms/1045578010746305131?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,39,3,117,0.6536312849,40,22,62,0.3463687151,3 beds,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,92,820,250,0,570,0,0,0,0,0,594941022732437611,Yes,,,Loft in Medellín,01/18/25 - 01/21/25,203,73,49,4.9,4.9 (196),9,https://www.airbnb.com/rooms/594941022732437611?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,68,3,203,1,0,0,0,0,,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,820,285,0,535,0,0,0,0,0,676127843795597018,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,187,66,34,4.83,4.83 (104),16,https://www.airbnb.com/rooms/676127843795597018?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,144,0.7700534759,20,23,43,0.2299465241,,TRUE,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,820,290,0,530,0,0,0,0,0,937526964017257535,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,185,65,32,4.82,4.82 (57),17,https://www.airbnb.com/rooms/937526964017257535?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,46,3,138,0.7459459459,21,26,47,0.2540540541,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,810,200,0,610,0,0,0,0,0,1178176191402029733,,,,Home in Envigado,01/18/25 - 01/21/25,257,83,50,5,5.0 (3),1,https://www.airbnb.com/rooms/1178176191402029733?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,69,3,207,0.8054474708,14,36,50,0.1945525292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,810,285,0,525,0,0,0,0,0,888497324659639892,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,187,66,34,4.81,4.81 (21),18,https://www.airbnb.com/rooms/888497324659639892?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,144,0.7700534759,20,23,43,0.2299465241,,,,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,805,205,0,600,0,0,0,0,0,48172409,,,,Apartment in Medellín,01/18/25 - 01/21/25,255,82,54,4.97,4.97 (94),3,https://www.airbnb.com/rooms/48172409?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,75,3,225,0.8823529412,30,0,30,0.1176470588,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,795,255,0,540,0,0,0,0,0,51978429,,,,Loft in Medellín,01/18/25 - 01/21/25,195,72,48,4.84,4.84 (2672),15,https://www.airbnb.com/rooms/51978429?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,65,3,264,1.353846154,0,0,0,0,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,795,330,0,465,0,0,0,0,0,1147480005589603298,,,,Loft in Medellín,01/18/25 - 01/21/25,172,57,42,4.66,4.66 (47),30,https://www.airbnb.com/rooms/1147480005589603298?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,57,3,172,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,790,180,0,610,0,0,0,0,0,958819550705678596,,,,Home in Envigado,01/18/25 - 01/21/25,263,87,54,5,5.0 (19),1,https://www.airbnb.com/rooms/958819550705678596?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,75,3,226,0.8593155894,0,37,37,0.1406844106,,TRUE,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,785,240,0,545,0,0,0,0,0,802312556685691403,,,,Apartment in Envigado,01/18/25 - 01/21/25,208,75,45,4.85,4.85 (98),14,https://www.airbnb.com/rooms/802312556685691403?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,60,3,179,0.8605769231,0,29,29,0.1394230769,1 bed,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,780,350,0,430,0,0,0,0,0,1310126023391659862,,,,Apartment in Envigado,01/18/25 - 01/21/25,165,53,26,,New,37,https://www.airbnb.com/rooms/1310126023391659862?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,119,0.7212121212,23,23,46,0.2787878788,,,,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,770,160,0,610,0,0,0,0,0,937725730189109315,,,,Apartment in Envigado,01/18/25 - 01/21/25,291,91,55,5,5.0 (49),1,https://www.airbnb.com/rooms/937725730189109315?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,78,3,233,0.8006872852,22,36,58,0.1993127148,,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,770,175,0,595,0,0,0,0,0,569013406988758799,,,,Vacation home in Medellín,01/18/25 - 01/21/25,268,88,51,4.96,4.96 (105),4,https://www.airbnb.com/rooms/569013406988758799?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,70,3,210,0.7835820896,25,33,58,0.2164179104,,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,770,210,0,560,0,0,0,0,0,563952236920205017,,,,Apartment in Envigado,01/18/25 - 01/21/25,248,81,47,4.88,4.88 (116),11,https://www.airbnb.com/rooms/563952236920205017?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,63,3,210,0.8467741935,28,31,59,0.2379032258,,TRUE,TRUE,TRUE,,,,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,760,185,0,575,0,0,0,0,0,909611405036168334,,,,Loft in Medellín,01/18/25 - 01/21/25,260,86,51,4.91,4.91 (107),8,https://www.airbnb.com/rooms/909611405036168334?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,70,3,210,0.8076923077,18,32,50,0.1923076923,1 bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,107,750,150,0,600,0,0,0,0,0,804470975340191782,Yes,,,Apartment in Envigado,01/18/25 - 01/21/25,324,93,59,4.97,4.97 (73),3,https://www.airbnb.com/rooms/804470975340191782?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,85,3,255,0.787037037,29,40,69,0.212962963,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,750,175,0,575,0,0,0,0,0,871239959705939608,,,,Apartment in Envigado,01/18/25 - 01/21/25,268,88,48,4.91,4.91 (23),8,https://www.airbnb.com/rooms/871239959705939608?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,65,3,280,1.044776119,34,38,72,0.2686567164,4 beds,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,750,215,0,535,0,0,0,0,0,621833492881223520,,,,Apartment in Envigado,01/18/25 - 01/21/25,245,80,51,4.83,4.83 (47),16,https://www.airbnb.com/rooms/621833492881223520?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,70,3,210,0.8571428571,35,0,35,0.1428571429,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,745,285,0,460,0,0,0,0,0,53493808,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,187,66,34,4.65,4.65 (65),31,https://www.airbnb.com/rooms/53493808?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,144,0.7700534759,20,23,43,0.2299465241,,,,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,735,305,0,430,0,0,0,0,0,1321051654982357639,,,,Apartment in Medellín,01/18/25 - 01/21/25,178,62,38,,New,37,https://www.airbnb.com/rooms/1321051654982357639?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,52,3,155,0.8707865169,23,0,23,0.1292134831,2 beds,,,TRUE,,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,725,155,0,570,0,0,0,0,0,1117264359646719612,,,,Apartment in Envigado,01/18/25 - 01/21/25,312,92,58,4.9,4.9 (30),9,https://www.airbnb.com/rooms/1117264359646719612?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,84,3,251,0.8044871795,22,39,61,0.1955128205,,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,720,210,0,510,0,0,0,0,0,44395823,,,,Apartment in Medellín,01/18/25 - 01/21/25,248,81,57,4.77,4.77 (367),21,https://www.airbnb.com/rooms/44395823?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,83,3,248,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114,720,235,0,485,0,0,0,0,0,44156630,,,,Apartment in Medellín,01/18/25 - 01/21/25,214,76,52,4.72,4.72 (403),26,https://www.airbnb.com/rooms/44156630?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,71,3,214,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,115,710,190,0,520,0,0,0,0,0,1103576409171539412,Yes,,,Apartment in Envigado,01/18/25 - 01/21/25,259,85,46,4.8,4.8 (20),19,https://www.airbnb.com/rooms/1103576409171539412?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,62,3,187,0.722007722,40,32,72,0.277992278,2 beds,,,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,695,135,0,560,0,0,0,0,0,846307105899108594,,,,Condo in Medellín,01/18/25 - 01/21/25,373,96,62,4.88,4.88 (93),11,https://www.airbnb.com/rooms/846307105899108594?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,99,3,297,0.7962466488,30,46,76,0.2037533512,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
